RSSI,NSINR,NRSRP,NRSRQ,BSLatitude,BSLongitude,UELatitude,UELongitude,UE_location,BS_location,UE_BS_pair
-46.49,22.56,-51.13,-4.63,41.864758,12.469067,41.865239,12.469167,41.865239_12.469167,41.864758_12.469067,41.865239_12.469167_41.864758_12.469067
-46.31,22.55,-50.99,-4.67,41.864758,12.469067,41.865242,12.469168,41.865242_12.469168,41.864758_12.469067,41.865242_12.469168_41.864758_12.469067
-48.69,13.29,-58.345,-9.65,41.864758,12.469067,41.865237,12.469164,41.865237_12.469164,41.864758_12.469067,41.865237_12.469164_41.864758_12.469067
-48.55,16.785,-57.425,-8.86,41.864758,12.469067,41.865234,12.46917,41.865234_12.46917,41.864758_12.469067,41.865234_12.46917_41.864758_12.469067
-51.16,17.465,-59.315,-8.15,41.864758,12.469067,41.86519,12.469182,41.86519_12.469182,41.864758_12.469067,41.86519_12.469182_41.864758_12.469067
-48.64,19.095,-56.87,-8.22,41.864758,12.469067,41.865089,12.46919,41.865089_12.46919,41.864758_12.469067,41.865089_12.46919_41.864758_12.469067
-48.39,18.42,-57.575,-9.175,41.864758,12.469067,41.864957,12.469193,41.864957_12.469193,41.864758_12.469067,41.864957_12.469193_41.864758_12.469067
-54.55,9.9,-64.035,-9.475,41.864758,12.469067,41.864739,12.469144,41.864739_12.469144,41.864758_12.469067,41.864739_12.469144_41.864758_12.469067
-54.4,12.555,-63.06,-8.65,41.864758,12.469067,41.864416,12.469155,41.864416_12.469155,41.864758_12.469067,41.864416_12.469155_41.864758_12.469067
-46.86,12.335,-56.175,-9.305,41.864758,12.469067,41.864254,12.469197,41.864254_12.469197,41.864758_12.469067,41.864254_12.469197_41.864758_12.469067
-47.8,10.895,-56.86,-9.05,41.864758,12.469067,41.864095,12.469249,41.864095_12.469249,41.864758_12.469067,41.864095_12.469249_41.864758_12.469067
-48.94,6.86,-60.42,-11.45,41.864758,12.469067,41.863836,12.469299,41.863836_12.469299,41.864758_12.469067,41.863836_12.469299_41.864758_12.469067
-53.57,7.195,-64.035,-10.455,41.864758,12.469067,41.863648,12.469319,41.863648_12.469319,41.864758_12.469067,41.863648_12.469319_41.864758_12.469067
-55.735,7.1075,-66.41,-10.7,41.864758,12.469067,41.863484,12.469372,41.863484_12.469372,41.864758_12.469067,41.863484_12.469372_41.864758_12.469067
-64.02,-4.085,-82.445,-18.215,41.864758,12.469067,41.863126,12.46946,41.863126_12.46946,41.864758_12.469067,41.863126_12.46946_41.864758_12.469067
-64.3275,-8.295,-86.215,-21.88625,41.864758,12.469067,41.8629,12.469527,41.8629_12.469527,41.864758_12.469067,41.8629_12.469527_41.864758_12.469067
-67.99,-13.24,-93.39,-25.33,41.864758,12.469067,41.870112,12.463501,41.870112_12.463501,41.864758_12.469067,41.870112_12.463501_41.864758_12.469067
-68.21,-13.75,-93.56,-25.33,41.864758,12.469067,41.870005,12.463595,41.870005_12.463595,41.864758_12.469067,41.870005_12.463595_41.864758_12.469067
-68.24,-13.364999999999998,-92.465,-24.255,41.864758,12.469067,41.870038,12.463645,41.870038_12.463645,41.864758_12.469067,41.870038_12.463645_41.864758_12.469067
-67.92,-11.52,-91.55,-23.51,41.864758,12.469067,41.87,12.46383,41.87_12.46383,41.864758_12.469067,41.87_12.46383_41.864758_12.469067
-69.57,-13.605,-94.04,-24.48,41.864758,12.469067,41.869665,12.464158,41.869665_12.464158,41.864758_12.469067,41.869665_12.464158_41.864758_12.469067
-70.68,-18.02,-99.465,-28.735,41.864758,12.469067,41.86963,12.464113,41.86963_12.464113,41.864758_12.469067,41.86963_12.464113_41.864758_12.469067
-63.02,-12.15,-86.905,-23.885,41.864758,12.469067,41.8695,12.463936,41.8695_12.463936,41.864758_12.469067,41.8695_12.463936_41.864758_12.469067
-61.89,-12.175,-86.1,-24.185,41.864758,12.469067,41.869498,12.463913,41.869498_12.463913,41.864758_12.469067,41.869498_12.463913_41.864758_12.469067
-68.22,-12.36,-92.19,-23.94,41.864758,12.469067,41.869494,12.46389,41.869494_12.46389,41.864758_12.469067,41.869494_12.46389_41.864758_12.469067
-66.95,-12.81,-91.91,-25.01,41.864758,12.469067,41.869486,12.463866,41.869486_12.463866,41.864758_12.469067,41.869486_12.463866_41.864758_12.469067
-63.66,-18.885,-92.805,-29.115,41.864758,12.469067,41.869452,12.463711,41.869452_12.463711,41.864758_12.469067,41.869452_12.463711_41.864758_12.469067
-67.15,-11.84,-90.275,-23.09,41.864758,12.469067,41.869404,12.46364,41.869404_12.46364,41.864758_12.469067,41.869404_12.46364_41.864758_12.469067
-68.98,-15.12,-94.265,-25.23,41.864758,12.469067,41.869393,12.463626,41.869393_12.463626,41.864758_12.469067,41.869393_12.463626_41.864758_12.469067
-69.66,-12.06,-92.37,-22.65,41.864758,12.469067,41.869377,12.463603,41.869377_12.463603,41.864758_12.469067,41.869377_12.463603_41.864758_12.469067
-70.67,-13.75,-94.925,-24.3,41.864758,12.469067,41.869375,12.463591,41.869375_12.463591,41.864758_12.469067,41.869375_12.463591_41.864758_12.469067
-69.21,-5.17,-86.36,-16.87,41.864758,12.469067,41.86939,12.463552,41.86939_12.463552,41.864758_12.469067,41.86939_12.463552_41.864758_12.469067
-69.58,-9.94,-90.49,-20.74,41.864758,12.469067,41.869404,12.463537,41.869404_12.463537,41.864758_12.469067,41.869404_12.463537_41.864758_12.469067
-66.41,-13.925,-90.695,-24.275,41.864758,12.469067,41.869379,12.463428,41.869379_12.463428,41.864758_12.469067,41.869379_12.463428_41.864758_12.469067
-68.01,-14.205,-92.25,-24.215000000000003,41.864758,12.469067,41.869357,12.463361,41.869357_12.463361,41.864758_12.469067,41.869357_12.463361_41.864758_12.469067
-67.2,-8.59,-86.27,-18.88,41.864758,12.469067,41.869374,12.463288,41.869374_12.463288,41.864758_12.469067,41.869374_12.463288_41.864758_12.469067
-67.2,-19.29,-95.45,-28.19,41.864758,12.469067,41.869372,12.46323,41.869372_12.46323,41.864758_12.469067,41.869372_12.46323_41.864758_12.469067
-66.58,-10.47,-86.64,-20.04,41.864758,12.469067,41.869387,12.463169,41.869387_12.463169,41.864758_12.469067,41.869387_12.463169_41.864758_12.469067
-65.34,-19.7,-93.48,-28.12,41.864758,12.469067,41.869395,12.463118,41.869395_12.463118,41.864758_12.469067,41.869395_12.463118_41.864758_12.469067
-69.63,-14.85,-96.84,-27.13,41.864758,12.469067,41.867167,12.463237,41.867167_12.463237,41.864758_12.469067,41.867167_12.463237_41.864758_12.469067
-71.24,-15.55,-96.09,-24.78,41.864758,12.469067,41.867141,12.463266,41.867141_12.463266,41.864758_12.469067,41.867141_12.463266_41.864758_12.469067
-70.93,-14.83,-96.72,-25.87,41.864758,12.469067,41.867083,12.463293,41.867083_12.463293,41.864758_12.469067,41.867083_12.463293_41.864758_12.469067
-65.88499999999999,-11.99,-87.705,-21.75,41.864758,12.469067,41.867077,12.463312,41.867077_12.463312,41.864758_12.469067,41.867077_12.463312_41.864758_12.469067
-69.93,-11.54,-93.45,-23.6,41.864758,12.469067,41.867057,12.46332,41.867057_12.46332,41.864758_12.469067,41.867057_12.46332_41.864758_12.469067
-71.79,-12.355,-94.82,-23.005,41.864758,12.469067,41.867034,12.463316,41.867034_12.463316,41.864758_12.469067,41.867034_12.463316_41.864758_12.469067
-75.51,-9.85,-96.14,-20.585,41.864758,12.469067,41.866995,12.463353,41.866995_12.463353,41.864758_12.469067,41.866995_12.463353_41.864758_12.469067
-79.77,-9.09,-99.605,-19.915,41.864758,12.469067,41.866992,12.463351,41.866992_12.463351,41.864758_12.469067,41.866992_12.463351_41.864758_12.469067
-70.575,-15.8075,-96.875,-26.3025,41.864758,12.469067,41.866876,12.463272,41.866876_12.463272,41.864758_12.469067,41.866876_12.463272_41.864758_12.469067
-65.82,-15.47,-94.05,-28.14,41.864758,12.469067,41.866838,12.46326,41.866838_12.46326,41.864758_12.469067,41.866838_12.46326_41.864758_12.469067
-66.5,-14.35,-92.07,-25.575,41.864758,12.469067,41.866825,12.463256,41.866825_12.463256,41.864758_12.469067,41.866825_12.463256_41.864758_12.469067
-64.17,-15.55,-91.48,-27.3,41.864758,12.469067,41.866811,12.463267,41.866811_12.463267,41.864758_12.469067,41.866811_12.463267_41.864758_12.469067
-67.83,-9.87,-90.015,-22.095,41.864758,12.469067,41.866859,12.463378,41.866859_12.463378,41.864758_12.469067,41.866859_12.463378_41.864758_12.469067
-68.88,-13.32,-92.35,-23.535,41.864758,12.469067,41.866852,12.463428,41.866852_12.463428,41.864758_12.469067,41.866852_12.463428_41.864758_12.469067
-71.89,-18.77,-100.99,-28.99,41.864758,12.469067,41.866849,12.463456,41.866849_12.463456,41.864758_12.469067,41.866849_12.463456_41.864758_12.469067
-74.67,-11.85,-97.75,-23.205,41.864758,12.469067,41.866863,12.463471,41.866863_12.463471,41.864758_12.469067,41.866863_12.463471_41.864758_12.469067
-72.03666666666668,-13.735,-95.69,-23.593333333333334,41.864758,12.469067,41.866897,12.463512,41.866897_12.463512,41.864758_12.469067,41.866897_12.463512_41.864758_12.469067
-72.37,-15.373333333333337,-97.67333333333332,-25.296666666666663,41.864758,12.469067,41.866878,12.463627,41.866878_12.463627,41.864758_12.469067,41.866878_12.463627_41.864758_12.469067
-64.99,-19.53,-94.59,-29.54,41.864758,12.469067,41.8668,12.463658,41.8668_12.463658,41.864758_12.469067,41.8668_12.463658_41.864758_12.469067
-66.42,-17.48,-92.46,-26.08,41.864758,12.469067,41.866789,12.463724,41.866789_12.463724,41.864758_12.469067,41.866789_12.463724_41.864758_12.469067
